                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51432,                 7.8595,                 1.3623,                0.39139,                 1.0922,                0.99844,                      1,                  0.995,                0.87751,                0.92355,                  0.925,                0.92547,                0.51223,                 0.5458,                  5.404,                0.51894,                0.34992,                 1.1635,              0.0001667,              0.0001667,              0.0001667
                      2,                0.42365,                 6.2051,                 1.2842,                0.32922,                 1.0237,                0.99836,                      1,                  0.995,                  0.879,                0.94844,                   0.95,                0.95061,                0.57938,                0.54389,                 5.1649,                0.40216,                 0.3372,                 1.1473,              0.0003499,              0.0003499,              0.0003499
                      3,                0.40511,                  5.883,                 1.2885,                0.32584,                 1.0129,                0.99857,                      1,                  0.995,                0.89564,                0.89872,                    0.9,                0.89628,                0.47862,                0.54007,                 5.8991,                0.37667,                0.32624,                 1.1184,             0.00053238,             0.00053238,             0.00053238
                      4,                0.42711,                 6.5073,                   1.27,                0.33285,                 1.0362,                0.99851,                      1,                  0.995,                0.91501,                0.94855,                   0.95,                0.95081,                0.47539,                 0.5162,                 5.3068,                0.44771,                0.34579,                 1.1017,              0.0007136,              0.0007136,              0.0007136
                      5,                0.43409,                 7.3954,                 1.2967,                0.34835,                 1.0415,                0.99786,                      1,                  0.995,                0.88802,                0.94796,                   0.95,                 0.9524,                0.54315,                0.55612,                 5.1614,                0.48856,                0.36978,                 1.1554,             0.00089302,             0.00089302,             0.00089302
                      6,                0.45089,                 7.0569,                 1.2412,                0.35402,                 1.0245,                0.99831,                      1,                  0.995,                0.85956,                0.94839,                   0.95,                0.96119,                0.46837,                0.64257,                 6.8865,                0.56469,                0.36324,                  1.345,              0.0010701,              0.0010701,              0.0010701
                      7,                0.43152,                 7.7117,                 1.2473,                0.35036,                 1.0176,                0.99742,                      1,                  0.995,                 0.8963,                0.89762,                    0.9,                0.87492,                0.43894,                0.56484,                 5.7997,                0.37261,                0.35327,                 1.1993,              0.0012443,              0.0012443,              0.0012443
                      8,                0.44498,                 8.0763,                 1.2651,                 0.3622,                 1.0199,                0.99334,                      1,                  0.995,                0.87645,                0.91871,                  0.925,                0.90668,                0.41997,                0.62401,                  5.866,                0.36634,                0.42076,                 1.3353,              0.0014152,              0.0014152,              0.0014152
                      9,                0.47457,                 8.3115,                 1.3809,                0.36506,                 1.0509,                0.99672,                      1,                  0.995,                0.86604,                0.84797,                   0.85,                0.81723,                0.27991,                0.63301,                 6.6724,                0.38799,                0.38556,                 1.3755,              0.0015821,              0.0015821,              0.0015821
                     10,                0.45324,                 7.9843,                 1.2858,                0.36634,                 1.0438,                0.99835,                      1,                  0.995,                0.86929,                 0.8737,                  0.875,                0.83601,                0.39767,                0.56652,                 5.8167,                0.41236,                0.37165,                  1.233,              0.0016006,              0.0016006,              0.0016006
                     11,                0.47457,                 8.7811,                 1.2892,                0.36769,                 1.0496,                0.99843,                      1,                  0.995,                0.87212,                0.94848,                   0.95,                0.94856,                0.42691,                0.57698,                 5.4797,                0.51887,                0.37422,                 1.1928,              0.0016006,              0.0016006,              0.0016006
                     12,                0.48274,                 7.9003,                 1.2928,                0.36152,                 1.0494,                0.99813,                      1,                  0.995,                0.88154,                0.97318,                  0.975,                0.97003,                0.48308,                0.52451,                 5.1165,                0.48423,                0.35368,                 1.1143,              0.0015853,              0.0015853,              0.0015853
                     13,                0.48315,                 7.2332,                 1.2213,                0.36495,                 1.0198,                0.99738,                      1,                  0.995,                0.86423,                0.94752,                   0.95,                0.94132,                0.41898,                 0.5445,                 5.8001,                0.52391,                0.36216,                 1.1269,              0.0015685,              0.0015685,              0.0015685
                     14,                0.47446,                 7.8278,                 1.2691,                0.36601,                 1.0469,                0.99857,                      1,                  0.995,                0.87908,                 0.9736,                  0.975,                0.97277,                0.41761,                0.59176,                 6.0615,                0.42547,                 0.4101,                 1.1864,              0.0015502,              0.0015502,              0.0015502
                     15,                0.48295,                 7.7201,                 1.3701,                0.36749,                 1.0483,                0.99849,                      1,                  0.995,                0.88783,                0.94857,                   0.95,                0.94131,                0.42983,                0.56063,                 5.6933,                0.33887,                0.37601,                 1.1407,              0.0015305,              0.0015305,              0.0015305
                     16,                  0.478,                 7.2869,                 1.3267,                0.36388,                 1.0497,                0.99847,                      1,                  0.995,                 0.8842,                0.89862,                    0.9,                0.87753,                 0.5182,                0.57925,                 5.7539,                0.47231,                0.36921,                 1.1566,              0.0015094,              0.0015094,              0.0015094
                     17,                0.47658,                 7.3269,                 1.3143,                0.36884,                 1.0475,                 0.9985,                      1,                  0.995,                0.88734,                0.89865,                    0.9,                0.90632,                0.49459,                0.56175,                 6.3628,                 0.4949,                0.38008,                  1.144,               0.001487,               0.001487,               0.001487
                     18,                0.50171,                 7.7409,                 1.3525,                0.37581,                 1.0662,                0.99795,                      1,                  0.995,                0.89145,                 0.9233,                  0.925,                0.92308,                0.45206,                0.50595,                 5.7779,                0.52203,                0.36208,                 1.1005,              0.0014632,              0.0014632,              0.0014632
                     19,                0.48859,                 7.6443,                 1.3085,                0.36318,                 1.0686,                0.99883,                      1,                  0.995,                0.89825,                0.94243,                  0.925,                0.94188,                0.42238,                0.51416,                  5.698,                0.47168,                 0.3533,                  1.128,              0.0014383,              0.0014383,              0.0014383
                     20,                0.47866,                 6.9531,                 1.3194,                0.36905,                 1.0602,                      1,                0.99925,                  0.995,                0.89964,                0.92496,                0.92446,                0.93203,                0.46064,                 0.5059,                 5.8971,                 0.4762,                0.36066,                 1.1086,              0.0014121,              0.0014121,              0.0014121
                     21,                0.50168,                 7.0037,                 1.2542,                0.37151,                 1.0827,                0.99848,                      1,                  0.995,                 0.9067,                0.92352,                  0.925,                0.93654,                0.49108,                0.49578,                 5.7274,                0.47751,                0.33161,                 1.0963,              0.0013847,              0.0013847,              0.0013847
                     22,                0.47065,                 6.9423,                 1.2525,                0.35771,                  1.049,                0.99855,                      1,                  0.995,                0.90994,                0.94858,                   0.95,                0.94619,                0.55695,                 0.5139,                 5.6575,                0.42122,                0.37314,                   1.11,              0.0013563,              0.0013563,              0.0013563
                     23,                0.48986,                  7.537,                 1.2752,                0.36525,                 1.0544,                0.99848,                      1,                  0.995,                0.89625,                0.94847,                   0.95,                0.94514,                 0.4907,                0.54685,                 5.4786,                0.52976,                0.38865,                 1.1379,              0.0013269,              0.0013269,              0.0013269
                     24,                0.50407,                 7.2143,                 1.2774,                0.37958,                 1.0714,                0.99788,                      1,                  0.995,                0.88601,                0.94793,                   0.95,                0.94746,                0.57031,                0.51945,                 5.0948,                 0.4977,                0.35942,                 1.1142,              0.0012964,              0.0012964,              0.0012964
                     25,                 0.4714,                 6.8365,                 1.3251,                0.37049,                 1.0556,                0.97299,                      1,                0.99329,                0.89675,                0.92585,                   0.95,                0.97106,                0.56444,                0.52255,                 5.0626,                0.46421,                0.34326,                 1.1388,              0.0012651,              0.0012651,              0.0012651
                     26,                0.50775,                 7.3223,                 1.3067,                0.38476,                 1.0824,                0.99583,                      1,                  0.995,                0.87877,                0.92453,                  0.925,                0.93583,                 0.5311,                0.54692,                 5.2222,                0.45415,                0.35579,                 1.1751,              0.0012329,              0.0012329,              0.0012329
                     27,                0.51279,                  6.695,                  1.221,                0.36746,                 1.0878,                0.99821,                      1,                  0.995,                0.90354,                0.97326,                  0.975,                0.97926,                0.55182,                0.52916,                 4.6649,                0.46819,                 0.3587,                 1.1274,              0.0011999,              0.0011999,              0.0011999
